DATE,P.CAN,i.CAN,S.CAN,w.CAN,b.CAN,P.FRA,i.FRA,S.FRA,w.FRA,b.FRA,P.DEU,i.DEU,S.DEU,w.DEU,b.DEU,P.ITA,i.ITA,S.ITA,w.ITA,b.ITA,P.JPN,i.JPN,S.JPN,w.JPN,b.JPN,P.GBR,i.GBR,S.GBR,w.GBR,b.GBR,P.G6,i.G6,S.G6,w.G6,b.G6,P.USA,i.USA,w.USA,b.USA,g.World,l.World
Mar 73,18.01422,,1.000900811,,,17.02013,,0.220400247,,,34.64131,,0.351803,,,6.74755,,0.0017180,,,37.6,,0.003759964,,,10.40415,,2.4755,,,20.3419856603236,,0.107026455797889,,,18.26873,,,,,
Apr 73,18.25125,,0.996810207,,,17.13711,,0.218851903,,,34.83702,,0.352348,,,6.815707,,0.0016920,,,38.2,,0.003766053,,,10.60215,,2.4890,,,20.5635276594853,,0.106824170400665,,,18.39531,,,,,
May 73,18.33026,,1.004924128,,,17.29795,,0.230398820,,,35.09798,,0.370796,,,6.917943,,0.0017110,,,38.9,,0.003778004,,,10.68016,,2.5661,,,20.7768463786096,,0.110107709955329,,,18.52188,,,,,
Jun 73,18.48828,,1.001502253,,,17.42955,,0.240998699,,,35.29369,,0.411506,,,6.98042,,0.0017150,,,39,,0.003799970,,,10.73416,,2.5810,,,20.9014373400213,,0.114566891489254,,,18.64845,,,,,
Jul 73,18.72531,,0.998502247,,,17.57577,,0.244498778,,,35.42417,,0.430496,,,7.020178,,0.0017080,,,39.3,,0.003795931,,,10.78216,,2.4990,,,21.0358701838995,,0.11572768818877,,,18.69064,,,,,
Aug 73,18.96234,,0.994431185,,,17.69275,,0.231798058,,,35.42417,,0.406306,,,7.065616,,0.0017690,,,39.6,,0.003768039,,,10.81216,,2.4580,,,21.1388242430365,,0.112834200751214,,,19.02817,,,,,
Sep 73,19.04135,,0.994233446,,,17.85359,,0.235599010,,,35.42417,,0.414096,,,7.105374,,0.0017720,,,40.7,,0.003765060,,,10.90816,,2.4135,,,21.3263635766574,,0.113477076934454,,,19.07036,,,,,
Oct 73,19.12036,,1.001001001,,,18.04368,,0.237000521,,,35.68512,,0.408697,,,7.162172,,0.0017490,,,40.9,,0.003746020,,,11.12416,,2.4385,,,21.5167642973375,,0.11309751551604,,,19.23913,,,,,
Nov 73,19.27838,,0.999800040,,,18.20452,,0.222598166,,,36.14178,,0.381199,,,7.247368,,0.0016530,,,41.2,,0.003570026,,,11.20816,,2.3430,,,21.7292629867263,,0.107360748665757,,,19.3657,,,,,
Dec 73,19.35739,,1.004016064,,,18.3215,,0.212802179,,,36.46797,,0.369699,,,7.349604,,0.0016440,,,42.6,,0.003567988,,,11.29216,,2.3225,,,22.0135617128296,,0.105465666403674,,,19.49227,,,,,
Jan 74,19.51541,,1.011940903,,,18.62856,,0.199600798,,,36.72892,,0.363504,,,7.468879,,0.0015130,,,44.4,,0.003347056,,,11.50817,,2.2860,,,22.4092648499692,,0.101466682799807,,,19.66104,,,,,
Feb 74,19.67343,,1.032524522,,,18.87714,,0.207000766,,,37.05511,,0.373902,,,7.627912,,0.0015420,,,45.8,,0.003467046,,,11.70381,,2.3015,,,22.7749879153927,,0.10412689043876,,,19.91418,,,,,
Mar 74,19.91046,,1.028171910,,,19.09647,,0.209599665,,,37.12035,,0.394804,,,7.826704,,0.0016000,,,46.1,,0.003622007,,,11.80738,,2.3930,,,22.98419609612,,0.107906426480239,,,20.16733,,,,,
Apr 74,20.06848,,1.041016032,,,19.40353,,0.203798810,,,37.3813,,0.407299,,,7.923259,,0.0015780,,,47.3,,0.003576026,,,12.21017,,2.4240,,,23.362575968873,,0.108301355443798,,,20.25171,,,,,
May 74,20.46352,,1.039284972,,,19.63749,,0.204198317,,,37.57701,,0.396401,,,8.036855,,0.0015490,,,47.5,,0.003546980,,,12.38279,,2.3960,,,23.5941883989268,,0.106875932051221,,,20.50486,,,,,
Jun 74,20.62154,,1.028489149,,,19.85682,,0.207000766,,,37.70749,,0.392495,,,8.15045,,0.0015460,,,47.7,,0.003518030,,,12.50938,,2.3905,,,23.771273614714,,0.106467012071981,,,20.67362,,,,,
Jul 74,20.77956,,1.021241830,,,20.1054,,0.213501857,,,37.83797,,0.388606,,,8.315163,,0.0015480,,,48.7,,0.003353004,,,12.62446,,2.3870,,,24.0419799019941,,0.105662635062382,,,20.84239,,,,,
Aug 74,21.01659,,1.012453174,,,20.26624,,0.207198061,,,37.90321,,0.375601,,,8.496915,,0.0015120,,,49.2,,0.003300984,,,12.63597,,2.3162,,,24.2245982432422,,0.102986107272879,,,21.09553,,,,,
Sep 74,21.17461,,1.014301653,,,20.48557,,0.210022262,,,37.96844,,0.376705,,,8.741144,,0.0015140,,,49.8,,0.003351993,,,12.77407,,2.3325,,,24.4730735545104,,0.103728139607113,,,21.34868,,,,,
Oct 74,21.41164,,1.015640869,,,20.73415,,0.212901852,,,38.2294,,0.387807,,,8.905857,,0.0014970,,,51,,0.003334000,,,13.02725,,2.3355,,,24.8298066128288,,0.104630414305916,,,21.55964,,,,,
Nov 74,21.56966,,1.012760786,,,20.92423,,0.215698540,,,38.49035,,0.404400,,,9.07625,,0.0015030,,,51.4,,0.003330003,,,13.25741,,2.3255,,,25.0895644849568,,0.106085910571949,,,21.7284,,,,,
Dec 74,21.80669,,1.008674602,,,21.0997,,0.225199865,,,38.55558,,0.415007,,,9.150086,,0.0015430,,,51.6,,0.003322038,,,13.45305,,2.3470,,,25.2574999885671,,0.108034004537862,,,21.89716,,,,,
Jan 75,21.80669,6.25,1.000500250,,,21.33365,11.5,0.231401134,,,38.94701,7.3438,0.427405,,,9.269361,,0.0015550,,,52.2,,0.003356043,,,13.79829,12.125,2.3825,,,25.5625829142988,,0.10990190501028,,,21.98155,6.75,,,,
Feb 75,22.04372,6.2813,1.001803246,,,21.4945,9.375,0.239900202,,,39.14273,6,0.439097,,,9.405676,,0.0015920,,,52.2,,0.003491011,,,14.02846,13.5625,2.4300,,,25.7640701114894,,0.11288319251233,,,22.15031,6.875,,,,
Mar 75,22.12273,6.125,0.996512207,,,21.66996,8.75,0.237298593,,,39.33844,4.5313,0.426203,,,9.417035,,0.0015800,,,52.7,,0.003401014,,,14.30465,11.0625,2.4060,,,25.9646153964332,,0.110850090203058,,,22.23469,6.375,,,,
Apr 75,22.28075,7.3125,0.980969198,,,21.86005,9,0.241301096,,,39.66463,4.4375,0.420292,,,9.541989,,0.0015830,,,53.6,,0.003421962,,,14.85705,11.75,2.3510,,,26.3457363208541,,0.11031315552545,,,22.31907,6.375,,,,
May 75,22.51778,7.125,0.977708252,,,22.02089,7.625,0.247500248,,,39.86034,4.6875,0.426694,,,9.621506,,0.0016000,,,53.9,,0.003429943,,,15.47849,10.375,2.3160,,,26.6489971748662,,0.111179756219373,,,22.44565,6,,,,
Jun 75,22.75481,7.1563,0.970308558,,,22.18173,9.75,0.247500248,,,40.18653,4.875,0.424701,,,9.695343,,0.0015850,,,53.9,,0.003382035,,,15.7777,10.25,2.1935,,,26.8687692521545,,0.109691192021408,,,22.61441,6.25,,,,
Jul 75,23.07084,7.3438,0.969180074,,,22.34258,9.125,0.229200092,,,40.18653,3.9375,0.389393,,,9.735102,,0.0015010,,,54,,0.003358973,,,15.93881,10.25,2.1540,,,26.9974781667944,,0.104502289138117,,,22.86756,6.125,,,,
