"blj","blj.l90","blj.u90"
1.97937723442731,1.51067532776923,2.44807914108539
1.60756986044701,1.15593099420539,2.05920872668863
1.46927368108167,1.05101234121507,1.88753502094827
1.75522552862488,1.01218547775124,2.49826557949853
1.68195598313474,0.964949371646261,2.39896259462321
1.50764545458294,0.794539752458257,2.22075115670762
1.36399918640166,0.679857594957489,2.04814077784584
1.23911437026029,0.584873035213157,1.89335570530742
1.11765313861405,0.488668923690331,1.74663735353777
1.00116078123953,0.400110108854278,1.60221145362478
0.88942485260893,0.312373359204222,1.46647634601364
0.784449497674831,0.230014454190145,1.33888454115952
0.686330480511288,0.153222781548842,1.21943817947373
0.594750892436427,0.0823151393794892,1.10718664549336
0.509234714173672,0.0149649129297706,1.00350451541757
0.429503063378764,-0.0455639801664843,0.904570106924012
0.355256897146857,-0.101343770602571,0.811857564896286
0.286219156921894,-0.15258735988245,0.725025673726238
0.222100781571972,-0.199566123899149,0.643767687043094
0.162626947448726,-0.242523546405245,0.567777441302698
0.107533669046792,-0.281705327539776,0.49677266563336
0.0565720409973889,-0.317337932803812,0.43048201479859
0.0095048626366156,-0.349639319862519,0.36864904513575
-0.0338930312411974,-0.379482251585576,0.311696189103181
-0.0738357207149923,-0.405690691768074,0.25801925033809
-0.110526325947223,-0.429155723594148,0.208103071699702
-0.144157597608641,-0.450052638315505,0.161737443098222
-0.174912335995553,-0.468547259616527,0.118722587625422
-0.202963896673507,-0.48479653945161,0.0788687461045963
-0.22847662087768,-0.498948919262405,0.0419956775070447
-0.251606269317773,-0.511144775226373,0.00793223659082759
-0.2725004256117,-0.521685068074731,-0.023315783148669
-0.291298888997841,-0.530340815770404,-0.0522569622252781
-0.308134046977136,-0.537417737669332,-0.0788503562849405
-0.323131232816815,-0.543027598773673,-0.103234866859958
-0.336409066200068,-0.547275890985881,-0.125542241414254
-0.348079778901556,-0.550262146534099,-0.145897411269012
-0.358249525576925,-0.552080236258132,-0.164418814895717
-0.367018680575934,-0.552818654469792,-0.181218706682076
-0.374482121224723,-0.552958887552998,-0.196005354896448
-0.380729498222825,-0.55176645741076,-0.209692539034889
-0.385845493672609,-0.549730941050842,-0.221960046294377
-0.389910067291639,-0.546921888860531,-0.232898245722747
-0.392998691309301,-0.54340471260432,-0.242592670014281
-0.395182574541623,-0.539240899017627,-0.25112425006562
-0.396528876111375,-0.534488213301622,-0.258569538921128
-0.397100909264764,-0.529590181978406,-0.264611636551122
-0.396958335715848,-0.523802570897369,-0.270114100534328
-0.396157350932819,-0.51757958904723,-0.274735112818409
-0.394750860762713,-0.510965941069354,-0.278535780456071
-0.39278864977496,-0.504003491854558,-0.281573807695361
-0.390317541688169,-0.496731418184274,-0.283903665192063
-0.387381552229472,-0.489452232428326,-0.285310872030618
-0.38402203476113,-0.481655627531015,-0.286388441991246
-0.380277818995097,-0.473652800430354,-0.28690283755984
-0.37618534310277,-0.46547352399087,-0.28689716221467
-0.371778779514315,-0.457145538598479,-0.286412020430152
-0.36709015468941,-0.448694664422046,-0.285485644956774
-0.362149463129493,-0.440436527624719,-0.283862398634267
-0.356984775890077,-0.431798384996587,-0.282171166783566
-0.351622343840753,-0.423104766460346,-0.28013992122116
-0.346086695909981,-0.414374811880842,-0.277798579939119
-0.340400732541639,-0.405626224341012,-0.275175240742267
-0.334585814580631,-0.397066508542761,-0.2721051206185
-0.328661847795531,-0.388317944368326,-0.269005751222736
-0.322647363237329,-0.379596543978884,-0.265698182495773
-0.316559593624759,-0.370915026999398,-0.262204160250119
-0.310414545938501,-0.362285049767721,-0.258544042109282
-0.304227070398673,-0.353791022636865,-0.254663118160481
-0.298010925992418,-0.345290439694533,-0.250731412290304
-0.291778842711241,-0.336870876711008,-0.246686808711475
-0.285542580650705,-0.328540325833552,-0.242544835467858
-0.27931298611852,-0.32032240563499,-0.238303566602049
-0.273100044890591,-0.312189665298256,-0.234010424482927
-0.266912932748559,-0.304165524137303,-0.229660341359815
-0.260760063426409,-0.296255143129883,-0.225264983722935
-0.25464913408819,-0.288407061167644,-0.220891207008736
-0.248587168453411,-0.280739835178591,-0.216434501728231
-0.242580557681604,-0.273198352361136,-0.211962763002072
-0.23663509912251,-0.265785608439638,-0.207484589805381
-0.230756033033697,-0.258450581197046,-0.203061484870348
-0.224948077362787,-0.251305235475247,-0.198590919250327
-0.219215460687195,-0.244294905016917,-0.194136016357474
-0.213561953400079,-0.237420951883603,-0.189702954916556
-0.20799089722722,-0.230641678347818,-0.185340116106622
-0.202505233155741,-0.224045281412696,-0.180965184898787
-0.197107527851911,-0.217587322330618,-0.176627733373204
-0.191799998641768,-0.211233789699174,-0.172366207584362
-0.186584537124989,-0.205054663459537,-0.168114410790442
-0.181462731489153,-0.199013623110436,-0.163911839867871
-0.176435887588557,-0.193110127010953,-0.159761648166161
-0.171505048848747,-0.187321185217967,-0.155688912479528
-0.166671015055146,-0.181691339654081,-0.15165069045621
-0.161934360081459,-0.176196287183896,-0.147672432979021
-0.157295448610978,-0.170809648700115,-0.14378124852184
-0.152754451901425,-0.165581811334756,-0.139927092468094
-0.148311362641654,-0.160484640428318,-0.136138084854991
-0.14396600894624,-0.1554899797273,-0.132442038165181
-0.13971806753187,-0.150650578312137,-0.128785556751603
-0.13556707611737,-0.145936740804599,-0.125197411430141
-0.131512445087247,-0.141346614542054,-0.121678275632439
-0.127553468456733,-0.136860481147419,-0.118246455766047
-0.123689334174537,-0.132512680490675,-0.114865987858399
-0.119919133797784,-0.12828263696666,-0.111555630628908
-0.116241871571974,-0.124155507754372,-0.108328235389577
-0.112656472947244,-0.120155367991446,-0.105157577903041
-0.109161792560692,-0.116266623655134,-0.102056961466251
-0.105756621713129,-0.112487106586566,-0.0990261368396918
-0.102439695367205,-0.108805632283576,-0.0960737584508345
-0.0992096986926155,-0.105238421102259,-0.0931809762829724
-0.0960652731827791,-0.101773827332288,-0.0903567190332699
-0.0930050223662528,-0.0984096414096859,-0.0876004033228197
-0.0900275171349652,-0.0951436548513163,-0.084911379418614
-0.0871313007102892,-0.091967542225847,-0.0822950591947313
-0.0843148932669392,-0.0888915707710733,-0.079738215762805
-0.0815767962336801,-0.0859072138870717,-0.0772463785802884
-0.0789154962889057,-0.0830123037847897,-0.0748186887930218
-0.0763294690682347,-0.0802046904867789,-0.0724542476496904
-0.0738171826004228,-0.0774822443326282,-0.0701521208682175
-0.0713771004870662,-0.0748428582382172,-0.0679113427359153
-0.0690076848408012,-0.0722844497223712,-0.0657309199592311
