"blj","blj.l90","blj.u90"
2.89171481489436,1.90336425514669,3.88006537464204
2.56564409806118,1.65109021282856,3.4801979832938
2.15895938971637,1.49249905711595,2.82541972231678
1.68961519005946,0.93059285277443,2.4486375273445
1.42388108392825,0.483442807227395,2.36431936062911
1.25436307689182,0.292373006242043,2.21635314754161
1.12470206846351,0.259873368990576,1.98953076793644
0.966080031123126,0.207388578098902,1.72477148414735
0.806401755180889,0.079527769750721,1.53327574061106
0.656842285020351,-0.100366851559465,1.41405142160017
0.527492736787674,-0.210813177791206,1.26579865136655
0.412154662230471,-0.302878184618833,1.12718750907977
0.307297695354199,-0.380766305116351,0.995361695824748
0.210534068477986,-0.452921173489595,0.873989310445568
0.122211723264264,-0.51825292823704,0.762676374765568
0.0422441796158293,-0.576458985456395,0.660947344688053
-0.0297372492265721,-0.62687967841281,0.567405179959666
-0.094499683220224,-0.670424050649801,0.481424684209353
-0.15268087246504,-0.707851021868506,0.402489276938426
-0.204805642084169,-0.739854277796551,0.330242993628213
-0.251295966251098,-0.766824102451199,0.264232169949003
-0.292562449753368,-0.789137960261594,0.204013060754858
-0.329004336624292,-0.80716252371626,0.149153850467676
-0.361005299977567,-0.821282269227013,0.0992716692718777
-0.388919878117684,-0.831851892888307,0.0540121366529384
-0.413075459603845,-0.839196176120024,0.0130452569123345
-0.433775529080909,-0.843609422097529,-0.0239416360642879
-0.451303618264674,-0.845365416424761,-0.0572418201045867
-0.465924457302467,-0.844719270085581,-0.0871296445193522
-0.477884750524258,-0.841908638143438,-0.113860862905078
-0.487413882744946,-0.837153449245552,-0.13767431624434
-0.494725036633652,-0.830656952091776,-0.158793121175527
-0.500016303354296,-0.822606869555951,-0.177425737152641
-0.503471709518687,-0.813176661140476,-0.193766757896897
-0.505262103374766,-0.802526480374519,-0.207997726375014
-0.505545978498797,-0.790804034402623,-0.220287922594971
-0.504470255603084,-0.778145372288874,-0.230795138917295
-0.502171031920633,-0.764675666090795,-0.239666397750472
-0.498774287242584,-0.750509952179647,-0.247038622305521
-0.49439654564871,-0.73575382820897,-0.253039263088451
-0.489145494851486,-0.720504099670961,-0.257786890032012
-0.483120567902707,-0.704849384830473,-0.261391750974941
-0.47641349004873,-0.688870682100993,-0.263956297996467
-0.469108792718616,-0.672641903227222,-0.265575682210011
-0.461284296102143,-0.656230373195218,-0.266338219009069
-0.453011562013028,-0.639697298467728,-0.266325825558328
-0.444356318775161,-0.623098205255679,-0.265614432294642
-0.435378859830553,-0.606483349791089,-0.264274369870018
-0.426134417613663,-0.589898102326663,-0.262370732900663
-0.41667351412477,-0.573383306438252,-0.259963721811288
-0.407042289548841,-0.556975615065011,-0.25710896403267
