"blj","blj.l90","blj.u90"
2.63706668858171,2.3053204951328,2.96881288203061
2.51270248319705,2.17920099928757,2.84620396710654
2.47798477639835,2.11554164909278,2.84042790370392
2.49062382671204,1.89454933801819,3.08669831540589
2.34483032555613,1.72014795063561,2.96951270047666
2.19270150870015,1.58073092397143,2.80467209342886
2.02176948511041,1.42175700863112,2.62178196158971
1.8411626614121,1.24271592955579,2.43960939326841
1.66434027532069,1.05786329502792,2.27081725561347
1.49664455997941,0.884476345323652,2.10881277463517
1.33798629233262,0.713585169282744,1.96238741538249
1.18910351350248,0.550829425652088,1.82737760135287
1.04991118078829,0.398582000101904,1.70124036147467
0.920336933031728,0.270036509679236,1.57063735638422
0.800100716154707,0.155519709947894,1.44468172236152
0.688756514276968,0.0477028724939155,1.32981015606002
0.585763824403518,-0.0598196269377537,1.23134727574479
0.490609268972599,-0.157029973761234,1.13824851170643
0.402810100099858,-0.243746373069965,1.04936657326968
0.321909293960203,-0.324314194157914,0.968132782078321
0.247466334008523,-0.400614139420911,0.895546807437956
0.179059902560168,-0.464007589379411,0.822127394499747
0.116291558222442,-0.520401117487157,0.752984233932041
0.0587874194592241,-0.569021726953244,0.686596565871692
0.00619665368819088,-0.613186202365603,0.625579509741985
-0.0418104461256661,-0.65184385856169,0.568222966310358
-0.0855438783403734,-0.685440286543695,0.514352529862948
-0.125294838348704,-0.714392746675443,0.463803069978035
-0.161336593708155,-0.747318850303668,0.424645662887358
-0.193925468449428,-0.767949460310964,0.380098523412107
-0.223301872603096,-0.785031107197253,0.33842736199106
-0.249691269428068,-0.798873913673245,0.29949137481711
-0.273305056916877,-0.809764476743927,0.263154362910174
-0.29434138555597,-0.817967365598329,0.22928459448639
-0.312985935079853,-0.81646442069655,0.190492550536843
-0.329412654718937,-0.820150571989059,0.161325262551184
-0.34378446345061,-0.821822193261887,0.134253266360667
-0.356253908510646,-0.821670308666814,0.109162491645522
-0.366963784434648,-0.819870666444973,0.0859430975756775
-0.376047716129564,-0.816584920666143,0.0644894884070163
-0.383630708679066,-0.811961732011763,0.0447003146536319
-0.389829665634183,-0.806137789398733,0.0264784581303669
-0.394753877268379,-0.799238755876663,0.0097310013399044
-0.398505480385638,-0.791380142151435,-0.00563081861983955
-0.401179891346443,-0.782143961628507,-0.0202158210643787
-0.402866213899479,-0.772663191005476,-0.0330692367934811
-0.40364762326903,-0.762519177447264,-0.0447760690907965
-0.403601727836097,-0.7517939388715,-0.0554095168006931
-0.402800909677935,-0.740562784202365,-0.065039035153505
-0.401312645171473,-0.728894836711286,-0.0737304536316593
-0.399199806803558,-0.716853514179699,-0.0815460994274173
-0.39652094726522,-0.704496969598679,-0.088544924931762
-0.393330566843797,-0.685379190066481,-0.101281943621114
-0.389679365068742,-0.672732371213828,-0.106626358923657
-0.385614477513494,-0.659914407995196,-0.111314547031792
-0.381179698605392,-0.646965861619126,-0.115393535591657
-0.376415691247577,-0.633923795951039,-0.118907586544115
-0.371360184011239,-0.620822039518109,-0.121898328504368
-0.366048156613558,-0.607691427313991,-0.124404885913125
-0.360512014356218,-0.594560024139413,-0.126464004573024
-0.354781752161154,-0.581453331049848,-0.12811017327246
-0.348885108804168,-0.570666502862797,-0.127103714745539
-0.342847711912975,-0.557652738502545,-0.128042685323405
-0.336693214264109,-0.544724456429315,-0.128661972098903
-0.330443421882735,-0.531898912012942,-0.128987931752528
-0.324118414420838,-0.519191605273537,-0.12904522356814
-0.317736658262172,-0.506616412229611,-0.128856904294734
-0.311315112776894,-0.494185706889283,-0.128444518664505
-0.304869330124697,-0.481910474595443,-0.127828185653951
-0.298413548982565,-0.469800417373582,-0.127026680591548
-0.291960782551798,-0.457864051876735,-0.126057513226862
-0.285522901178745,-0.44610880046959,-0.124937001887899
-0.279110709904583,-0.436481257225317,-0.121740162583849
-0.272734021241435,-0.425061834965403,-0.120406207517467
-0.266401723455156,-0.413840347100778,-0.118963099809534
-0.260121844619036,-0.402820688929212,-0.11742300030886
-0.253901612687536,-0.392006024039753,-0.11579720133532
-0.24774751182491,-0.381398843819461,-0.114096179830359
-0.241665335210044,-0.371001022828713,-0.112329647591374
-0.235660234526169,-0.360813870327232,-0.110506598725106
-0.229736766332084,-0.350838178213008,-0.108635354451161
-0.223898935500197,-0.341074265615856,-0.106723605384538
