"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",-0.0406938011695006,-0.0448735593395209,-0.058812459740992,-0.0594431776926345,-0.0440339568279605,-0.0476330774827757,-0.0361277539198158,-0.0395413665305405,-0.0313668722821571,-0.0326515193646195,-0.0624085018380543,-0.0665615763364094,-0.04009154169633,-0.0437860935258497
"2",-0.0276291693083553,-0.0304998766980238,-0.0719636647344178,-0.073830499820543,-0.0649416482389621,-0.0686211338057469,-0.0427048292205344,-0.0444274280335691,-0.0177443466631977,-0.019933716750909,-0.0374181170807914,-0.0383219544752083,-0.0405107418828214,-0.0433580699751049
"3",-0.0274288406067409,-0.0292467794318318,-0.04269446507748,-0.0443470664197049,-0.0496969798895936,-0.0533423381019471,-0.0415818382287623,-0.0423377123514465,-0.0187837220426662,-0.0208794292165161,-0.0193986329520697,-0.0218839261340301,-0.0403418960992745,-0.0424083262667958
"4",-0.0147548294284793,-0.015580638636716,-0.0347674064049419,-0.0368040782083835,-0.0677665968578593,-0.0724904827777884,-0.0255827438963988,-0.028600825812257,-0.0102035578861779,-0.0105873526469507,-0.0144845389337428,-0.0155288712503534,-0.0320806625210937,-0.0353142600432638
"5",-0.0214264946064128,-0.0243072742746134,-0.0391039108613378,-0.0409492334064776,-0.0576264402277993,-0.064866585871249,-0.0558565514779899,-0.0607755915372167,-0.0317429242509658,-0.0349003100616815,-0.0365612715318883,-0.0366132735643867,-0.0310955149786954,-0.0395598339130715
"6",-0.0313905100585201,-0.0299310434563766,-0.0268430996154276,-0.0294929046858737,-0.0456739449149289,-0.0501908979992997,-0.0487446470391711,-0.0507368774822138,-0.0289339417234801,-0.0315863731589641,-0.0653441345941721,-0.0639278503677682,-0.0236220524531418,-0.0283123400271614
"7",-0.0265523103393373,-0.0269013316157456,-0.0403890782284047,-0.0451206577647024,-0.0274836113813388,-0.0312497386937306,-0.0206619850176676,-0.0219351779442851,-0.0348762822235421,-0.04014431520757,-0.039239594177927,-0.0430309048417188,-0.0560849591858475,-0.0589086722679093
"8",-0.0270973663964143,-0.0308902129890486,-0.0276998781992251,-0.0315919780892184,-0.0426219832861705,-0.042483723678529,-0.0490819721059256,-0.0515778287250627,-0.0292411667362988,-0.0319388733554481,-0.0680566280028499,-0.0697526606310954,-0.064198780973238,-0.0678848500831281
"9",-0.0506781553049893,-0.0510657476268559,-0.0242455748179017,-0.0247026189967078,-0.0236072734874864,-0.0272070266811163,-0.0468160384273401,-0.0497197367363711,-0.0196351553405883,-0.0209283057116117,-0.0853982089209197,-0.0859050055943181,-0.0376422613887513,-0.0436095111839103
"10",-0.0368077680289533,-0.0390125670343278,-0.0332880622051606,-0.0358765651565286,-0.0491948895368025,-0.0503920555048022,-0.0266206152471264,-0.0290111678708126,-0.0148184373703823,-0.0197278643696706,-0.035436207458931,-0.0387899415108069,-0.0582327160992359,-0.0596952557755198
"11",-0.0225587559517535,-0.0255914352138237,-0.0526432307976171,-0.0556653394171522,-0.0388960371287394,-0.0432174095561253,-0.0211995374689404,-0.024514278208135,-0.0102698237855235,-0.0130552879480565,-0.0523873054369079,-0.0519145243142906,-0.0330951318965068,-0.0362998970503963
"12",-0.0831246324042652,-0.0896951771777961,-0.0322668757969139,-0.0363906213050436,-0.0888643401554871,-0.0883228985942018,-0.0317139858024178,-0.0355973476092213,-0.0422598292479773,-0.0469848361130716,-0.0629944699668319,-0.0645162277620587,-0.0285175628886356,-0.0297319024049069
"13",-0.0312387315012054,-0.0326140453523741,-0.0304881073215832,-0.0319129300065153,-0.0310434583857307,-0.0357868445005924,-0.0492618660589554,-0.0527402267831427,-0.0154756585974781,-0.0164380231006528,-0.0353844932969419,-0.0385515569026389,-0.0400651935479625,-0.0429653805981647
