"","V1","V2","V3","V4"
"1",-16.9342076986128,-60.8252880327119,-20.775757414051,-53.9560837144953
"2",-19.6190791843735,-95.7178146810487,-23.3522274690721,-78.5621587185359
"3",-12.2897101014886,-26.0181575762606,-13.7864486309209,-25.1662501717524
"4",-12.6355529107581,-33.5453264119265,-13.8786090335305,-30.8673515899853
"5",-20.4583186264349,-42.283171322162,-22.519029903278,-40.9954541341573
"6",-21.3841445545151,-52.0420956960854,-22.8729694559971,-48.8078493740137
"7",-24.6665775138404,-48.459163248169,-27.4466095140261,-46.5612089096423
"8",-24.4782489696775,-67.7497817832669,-27.4455177468516,-64.1440398994519
"9",-32.92509700896,-72.3630194232562,-37.0410695641182,-69.0327964767378
"10",-30.6684601123057,-164.404966694616,-37.0335667990013,-143.398085395353
"11",-31.7078829774182,-74.6381921035003,-34.9957625182206,-71.2580538617375
"12",-32.2806377883614,-112.484838981302,-35.6315871241421,-100.562679574973
"13",-38.4662133768761,-68.0044332507325,-41.5051779309548,-66.0403010432301
"14",-37.4246512418771,-92.7286109322552,-40.5067975983571,-84.3754934249841
