"blj","blj.l90","blj.u90"
-3.06960661133517,-5.40549508145009,-0.733718141220252
-3.52302329937859,-5.22500028588642,-1.82104631287076
-2.36958774569676,-3.85377484380323,-0.885400647590278
-1.61893083965104,-2.56940309866463,-0.668458580637439
-2.12888484515851,-2.84855251429891,-1.40921717601812
-1.97370854747285,-2.50350168433454,-1.44391541061116
-2.03425067334296,-2.62020581839698,-1.44829552828895
-1.92842705768912,-2.35496970432867,-1.50188441104957
-1.7035213962238,-2.05993260718986,-1.34711018525774
-1.64745947817899,-1.90825807651043,-1.38666087984756
-1.64453316611491,-1.94200954684182,-1.34705678538799
-1.55535764025099,-1.75083989223055,-1.35987538827144
-1.51332100156574,-1.66487925653356,-1.36176274659792
-1.45611855302506,-1.58985356109125,-1.32238354495887
-1.39435906252387,-1.46266406645744,-1.32605405859029
-1.35685023013833,-1.39301710743565,-1.32068335284101
-1.3183324842934,-1.34245683054155,-1.29420813804524
-1.27523851673015,-1.30804782812248,-1.24242920533783
-1.24132732993341,-1.29304696242651,-1.1896076974403
-1.20658421657012,-1.2816844245448,-1.13148400859543
-1.17398936348532,-1.27041592030264,-1.077562806668
-1.14568324743791,-1.26579032546999,-1.02557616940583
-1.11793159653697,-1.25889100804177,-0.976972185032164
-1.09160452644113,-1.25174204805849,-0.931467004823766
-1.0676003326184,-1.24640212973163,-0.888798535505172
-1.04449953701511,-1.23670583509047,-0.852293238939745
-1.02283702341398,-1.22976530466411,-0.81590874216385
-1.00257299116462,-1.22350975958551,-0.781636222743732
-0.983200690098504,-1.21627287751656,-0.750128502680447
-0.964880430575314,-1.20879358576622,-0.720967275384412
-0.94754963300837,-1.20127414207469,-0.693825123942054
-0.930995323004826,-1.19327746622826,-0.668713179781389
-0.915253951248266,-1.18500926014522,-0.645498642351312
-0.900240052807276,-1.17659570775227,-0.623884397862281
-0.885859796845715,-1.16786115222504,-0.603858441466392
-0.872099511145224,-1.158960944686,-0.585238077604447
-0.858900802843607,-1.14990630360235,-0.567895302084862
-0.846209535523408,-1.14066734718474,-0.551751723862072
-0.834000095849983,-1.13130621307143,-0.536693978628537
-0.822229972464078,-1.12183846219051,-0.522621482737651
-0.81086435751842,-1.11226394406217,-0.509464770974671
-0.799877927340882,-1.10261827416282,-0.497137580518942
-0.789240680589762,-1.09291071698027,-0.485570644199253
-0.778927386583037,-1.08315172769806,-0.474703045468015
-0.76891679357475,-1.07336040949092,-0.464473177658574
-0.759187000378111,-1.06354632544666,-0.454827675309566
-0.749719175854216,-1.05371939200289,-0.445718959705547
-0.740496446586583,-1.04389178611115,-0.437101107062014
-0.731502572070794,-1.03407126224931,-0.42893388189228
-0.722723199659525,-1.02426598070512,-0.421180418613926
-0.714145240326613,-1.01448401014382,-0.413806470509407
-0.70575645712414,-1.00473155795524,-0.406781356293035
-0.697545857521916,-0.996265418840807,-0.398826296203025
-0.689503352675839,-0.986607127923279,-0.392399577428398
-0.681619625895073,-0.97699173119644,-0.386247520593706
-0.673886216802646,-0.967423917429191,-0.380348516176101
-0.666295348969519,-0.957907875441927,-0.374682822497112
-0.658839867716315,-0.948447214258298,-0.369232521174331
-0.651513233297268,-0.939045232829125,-0.363981233765411
-0.644309427233394,-0.92970483985005,-0.358914014616738
-0.637222912360912,-0.920428562981276,-0.354017261740549
-0.630248603928031,-0.911218659359426,-0.349278548496635
-0.623381814933468,-0.902077091136795,-0.344686538730141
-0.616618225124611,-0.89300555400963,-0.340230896239591
-0.609953852121417,-0.884005524296182,-0.335902179946651
-0.603385016288045,-0.875078260664353,-0.331691771911736
-0.596908316197456,-0.866224827524474,-0.327591804870437
-0.590520604804308,-0.857446119936081,-0.323595089672535
-0.58421896526799,-0.848742872366644,-0.319695058169336
-0.57800069168549,-0.840115676152398,-0.315885707218581
-0.57186327064188,-0.831564994749226,-0.312161546534534
-0.56580436378835,-0.823091173485299,-0.308517554091401
-0.559821792957102,-0.814694452029245,-0.304949133884959
-0.553913526161933,-0.806374974982243,-0.301452077341623
-0.548077664739185,-0.7981328003195,-0.298022529158869
-0.542312431967591,-0.789967908419948,-0.294656955515234
-0.53661616251634,-0.781880209803714,-0.291352115228966
-0.530987292836423,-0.773869551883949,-0.288105033788897
-0.525424352517925,-0.765935725572639,-0.28491297946321
-0.519925956344438,-0.758078471062538,-0.281773441626338
-0.514490797072905,-0.750297483029889,-0.278684111115921
-0.509117638890844,-0.742592415519351,-0.275642862262336
-0.5038053114307,-0.734962886285899,-0.272647736575502
-0.498552704328858,-0.727408480739477,-0.26969692791824
-0.493358762279753,-0.71992875557685,-0.266788768982657
-0.488222480521706,-0.712523242041453,-0.26392171900196
-0.48314290073036,-0.705191448889072,-0.261094352571648
-0.478119107280708,-0.697932865094445,-0.258305349466971
-0.473150223838427,-0.690746962292394,-0.255553485384459
-0.468235410256954,-0.683633196997053,-0.252837623516856
-0.463373859750641,-0.676591012618076,-0.250156706883206
-0.458564796317645,-0.669619841283176,-0.247509751352114
-0.453807472392324,-0.662719105492314,-0.244895839292334
-0.449101166705122,-0.655888219616694,-0.24231411379355
-0.44444518233134,-0.649126591254595,-0.239763773408084
-0.43983884491201,-0.642433622459175,-0.237244067364845
-0.435281501031557,-0.635808710849679,-0.234754291213434
-0.430772516737297,-0.629251250614963,-0.232293782859632
-0.426311276189084,-0.62276063342121,-0.229861918956958
-0.42189718042646,-0.616336249231033,-0.227458111621887
-0.417529646243174,-0.609977487042566,-0.225081805443782
-0.413208105159496,-0.60368373555603,-0.222732474762962
-0.408932002483091,-0.59745438377383,-0.220409621192352
-0.404700796450977,-0.591288821540755,-0.218112771361199
-0.400513957444967,-0.585186440029482,-0.215841474860452
-0.396370967273964,-0.579146632176234,-0.213595302371695
-0.392271318517527,-0.573168793071781,-0.211373843963272
-0.388214513924471,-0.567252320310837,-0.209176707538104
-0.384200065862488,-0.561396614304956,-0.207003517420019
-0.380227495813221,-0.555601078560897,-0.204853913065545
-0.376296333909692,-0.549865119928973,-0.202727547890412
-0.372406118511344,-0.544188148822858,-0.20062408819983
