"blj","blj.l90","blj.u90"
2.060341979295,0.276721961694987,3.84396199689501
1.40487185532585,-0.0555289045957863,2.8652726152475
0.456722440599086,-0.880653809421508,1.79409869061968
1.04387672755256,-0.648636154076861,2.73638960918197
0.581001491317751,-0.805424260262056,1.96742724289756
0.179505317181352,-1.18041551780404,1.53942615216674
0.205707231591374,-1.02630386048261,1.43771832366536
-0.0896934700733846,-1.03960661194659,0.860219671799821
-0.2773892620556,-1.2460659987479,0.691287474636697
-0.307886935582356,-1.2496238967293,0.633850025564589
-0.479121009973609,-1.28144493970251,0.323202919755293
-0.578558194521175,-1.38611706290218,0.229000673859829
-0.631232548457364,-1.30728613992546,0.0448210430107288
-0.724821527455811,-1.3418188394554,-0.10782421545622
-0.780353316546768,-1.35373039421895,-0.20697623887459
-0.819814380014266,-1.31295330172443,-0.326675458304107
-0.870765596048764,-1.33367092969735,-0.407860262400176
-0.901822627571216,-1.32776223672054,-0.475883018421891
-0.926668177210437,-1.29659610753924,-0.556740246881637
-0.952320372261021,-1.29826878930414,-0.606371955217905
-0.967998524547809,-1.28444267359814,-0.651554375497477
-0.980444641303561,-1.26960395684174,-0.691285325765383
-0.99126206569165,-1.26191485724505,-0.720609274138248
-0.996883097372256,-1.24553906644673,-0.748227128297777
-1.00047594966106,-1.22859193609247,-0.772359963229654
-1.00226651553975,-1.21619968706735,-0.788333344012143
-1.00127697448401,-1.19981004358657,-0.802743905381456
-0.998913589144644,-1.18397247923575,-0.813854699053534
-0.995182087493647,-1.16964801932665,-0.820716155660641
-0.989904618439834,-1.15363322220672,-0.82617601467295
-0.983708735466781,-1.13827566654175,-0.829141804391813
-0.976600352311545,-1.12334913440223,-0.829851570220861
-0.968619188998758,-1.10791758853422,-0.829320789463296
-0.960051334361816,-1.09286217957238,-0.827240489151248
-0.950924199207809,-1.07799086626758,-0.823857532148037
-0.94131107390833,-1.06303861234716,-0.819583535469497
-0.931350453195075,-1.04835355777093,-0.814347348619222
-0.921076463370359,-1.03381071098392,-0.808342215756797
-0.910550058717247,-1.01935228201924,-0.801747835415255
-0.899843369455776,-1.00510502051263,-0.794581718398923
-0.888987189737371,-0.991007411529304,-0.786966967945438
-0.878024005888344,-0.977053622971463,-0.778994388805224
-0.866994220826044,-0.963287256896908,-0.77070118475518
-0.855921645578774,-0.949681161451703,-0.762162129705845
-0.844833969469275,-0.936238860673724,-0.753429078264827
-0.833755020642998,-0.92297405185708,-0.744535989428916
-0.822701637112691,-0.907143088822684,-0.738260185402697
-0.811691249880267,-0.894281976740632,-0.729100523019902
-0.800738257453392,-0.881588390412787,-0.719888124493998
-0.789853831683488,-0.86905817386627,-0.710649489500706
-0.779048644092872,-0.856692628761295,-0.701404659424449
-0.768331357433023,-0.844492066482037,-0.692170648384009
-0.757708964829822,-0.832454243759613,-0.68296368590003
-0.747187755573268,-0.820579025908679,-0.673796485237856
-0.736772757439408,-0.808865475274554,-0.664680039604261
-0.726468039591543,-0.797311863111357,-0.655624216071729
-0.716277061608132,-0.785917212100725,-0.64663691111554
-0.706202500525236,-0.774680082695435,-0.637724918355037
-0.696246443589902,-0.763598800022606,-0.628894087157198
-0.686410524898935,-0.75267193095705,-0.620149118840819
-0.676695892300351,-0.74189781033679,-0.611493974263911
-0.667103318456673,-0.731274705590899,-0.602931931322446
-0.657633263081137,-0.720800951784295,-0.594465574377979
-0.648285882893601,-0.710474777825175,-0.586096987962028
-0.639061094222412,-0.700294395992345,-0.577827792452479
-0.629958606810759,-0.690258035295952,-0.569659178325566
-0.62097794224445,-0.680363882232575,-0.561592002256324
-0.612118469743309,-0.670610123940394,-0.553626815546224
-0.603379427073164,-0.660994954613201,-0.545763899533126
-0.594759936896567,-0.651516557347975,-0.538003316445159
-0.586259027856275,-0.642173123699828,-0.530344932012722
-0.577875648354255,-0.632962854266047,-0.522788442442464
-0.569608678720333,-0.623883954186541,-0.515333403254125
-0.561456944029328,-0.614934641739311,-0.507979246319346
-0.553419223349378,-0.606113148197181,-0.500725298501574
-0.545494258166211,-0.597417717341423,-0.493570798991
-0.537680760370425,-0.588846609202261,-0.486514911538588
-0.529977418447786,-0.580398100043188,-0.479556736852384
-0.522382903103689,-0.572070482763181,-0.472695323444198
-0.514895872313721,-0.563862068518257,-0.465929676109184
-0.507514975419115,-0.555771186799561,-0.45925876403867
-0.500238856799255,-0.547796185837869,-0.452681527760641
-0.493066159077416,-0.539935433285277,-0.446196884869554
-0.485995525786344,-0.532187316279127,-0.43980373529356
-0.479025603721269,-0.524550241668852,-0.433500965773686
-0.472155044960696,-0.517022636261213,-0.42728745366018
-0.465382508563875,-0.509602946819325,-0.421162070308426
-0.458706662044832,-0.502289640124728,-0.415123683964936
-0.452126182621642,-0.495081203005563,-0.409171162237722
-0.44563975826428,-0.487976142264604,-0.403303374263957
-0.439246088587091,-0.480972984624113,-0.397519192550068
-0.432943885592706,-0.47407027663842,-0.391817494546991
-0.426731874287169,-0.467266584563587,-0.386197164010751
-0.420608793189591,-0.460560494227009,-0.380657092152172
-0.414573394744437,-0.453950610875181,-0.375196178613692
-0.408624445650687,-0.447435559002026,-0.369813332299348
-0.402760727120458,-0.441013982172764,-0.364507472068152
-0.396981035074443,-0.434684542835066,-0.359277527313821
-0.391284180283391,-0.428445922120863,-0.354122438445919
-0.385668988463303,-0.422296819644218,-0.349041157282388
-0.380134300329814,-0.416235953292417,-0.344032647367212
-0.37467897161784,-0.410262059012771,-0.339095884222908
-0.369301873071281,-0.404373890597086,-0.334229855545477
-0.364001890406684,-0.39857021946307,-0.329433561350298
-0.358777924254879,-0.392849834434284,-0.324706014075474
-0.353628890083565,-0.387211541519232,-0.320046238647898
-0.348553718103664,-0.381654163689767,-0.315453272517562
-0.343551353161941,-0.376176540659567,-0.310926165664314
-0.338620754621991,-0.37077752866312,-0.306463980580862
-0.333760896235322,-0.365456000235277,-0.302065792235366
-0.32897076600424,-0.360210843991917,-0.297730688016564
-0.324249366037989,-0.355040964411986,-0.293457767663992
-0.319595712403178,-0.349945281620947,-0.289246143185408
-0.315008834969651,-0.34492273117591,-0.285094938763393
-0.310487777252823,-0.339972263852748,-0.281003290652897
-0.306031596253007,-0.335092845435026,-0.276970347070987
-0.301639362292693,-0.330283456505112,-0.272995268080274
-0.297310158852252,-0.325543092237487,-0.269077225467017
-0.29304308240452,-0.320870762194203,-0.265215402614836
-0.288837242248843,-0.31626549012273,-0.261408994374957
-0.284691760344902,-0.311726313756141,-0.257657206933663
