"blj","blj.l90","blj.u90"
0.820398129698571,-0.591092889792203,2.23188914918935
0.602009319329895,-0.726151223148292,1.93016986180808
-0.155852245150481,-1.33106465911326,1.01936016881229
0.157767594740276,-1.26233908221457,1.57787427169512
-0.368117191013733,-1.6232535198458,0.88701913781833
-0.791028832020036,-2.05969307242533,0.477635408385254
-0.769875319400434,-2.08956942634377,0.549818787542898
-1.21244376293137,-2.42645655673062,0.00156903086788907
-1.43984527351779,-2.81965086286324,-0.0600396841723421
-1.56915758838596,-2.69266113235506,-0.445654044416849
-1.89916299288492,-3.10062198930906,-0.697703996460788
-2.05358029291151,-3.36287264281871,-0.744287943004304
-2.2123880115727,-3.14987491660052,-1.27490110654487
-2.4263748549664,-3.50510359312171,-1.34764611681109
-2.53571942986472,-3.54039422575109,-1.53104463397835
-2.66595415006157,-3.42344790057625,-1.90846039954689
-2.7900426666379,-3.67096941453601,-1.90911591873979
-2.85670716850311,-3.57249422594419,-2.14092011106202
-2.93301793229935,-3.54153028870713,-2.32450557589157
-2.98533927961876,-3.65255252782268,-2.31812603141483
-3.00708483238261,-3.50541311372778,-2.50875655103743
-3.02680255448079,-3.50439125667259,-2.54921385228899
-3.02217672058747,-3.51004196056963,-2.53431148060531
-2.99976424635081,-3.41449563776508,-2.58503285493654
-2.96916931672792,-3.39427337587178,-2.54406525758406
-2.91955621415869,-3.39144130000998,-2.44767112830741
-2.85846665212017,-3.35792028579953,-2.35901301844081
-2.78797238747017,-3.32390352428404,-2.25204125065629
-2.70437393025504,-3.26042375095167,-2.1483241095584
-2.61306145864708,-3.19689827330819,-2.02922464398597
-2.51404603151453,-3.11683100369014,-1.91126105933891
-2.40706127691772,-3.02150972744448,-1.79261282639097
-2.29536811904285,-2.92633377429161,-1.66440246379409
-2.17886998090651,-2.81544877061066,-1.54229119120235
-2.05853753771384,-2.69973239512729,-1.41734268030038
-1.93624887076913,-2.5766715385763,-1.29582620296197
-1.81222164338779,-2.44894585908978,-1.1754974276858
-1.68762110349185,-2.31883936082073,-1.05640284616296
-1.5635536698711,-2.18522281974497,-0.941884519997228
-1.44045165800277,-2.05076722041752,-0.830136095588018
-1.31928624893388,-1.9161489882497,-0.72242350961807
-1.20074475629486,-1.7961483203119,-0.605341192277818
-1.08529363445165,-1.6627632771608,-0.507823991742502
-0.973617558334289,-1.53133629451923,-0.415898822149345
-0.8661485233083,-1.40245510400303,-0.329841942613567
-0.763261428095073,-1.27723356913806,-0.249289287052088
-0.665372177806632,-1.15584661725577,-0.174897738357494
-0.572725214062407,-1.03890936782234,-0.106541060302468
-0.485547305113637,-0.927009041869425,-0.0440855683578484
-0.404032117624686,-0.81913460719395,0.0110703719445779
-0.328268052809033,-0.717933734014563,0.0613976283964966
-0.258326152169026,-0.62261408408088,0.105961779742828
-0.194225900268378,-0.533257131910692,0.144805331373936
-0.135923713309414,-0.450072560476766,0.178225133857939
-0.0833542095710442,-0.373087332412728,0.206378913270639
-0.036405977023777,-0.301574184267863,0.228762230220309
0.00507033726255777,-0.237482766698976,0.247623441224092
0.0412455684325316,-0.173469657835062,0.255960794700125
0.0723235790504513,-0.122310431647212,0.266957589748114
0.0985304619422781,-0.0704752963672667,0.267536220251823
0.120108742912496,-0.0293195727991089,0.2695370586241
0.137320557370374,-0.000469737299295808,0.275110852040043
0.150439226148033,0.0292775687558685,0.271600883540198
0.159747088828484,0.0482770351722499,0.271217142484718
0.165534662240656,0.0605140866241184,0.270555237857194
0.168095089757381,0.0621754834473357,0.274014696067427
0.167722866294383,0.0643977059512755,0.27104802663749
0.164711719336615,0.0598328243038145,0.269590614369416
0.159351204890425,0.0546762676095666,0.264026142171284
0.151925598145718,0.0505501536342642,0.253301042657172
0.142711836317084,0.0426767289427956,0.242746943691372
0.13197751641661,0.0364242320203202,0.2275308008129
0.119979943993389,0.0292585939143002,0.210701294072477
0.106964634110229,0.0192229239350879,0.19470634428537
0.0931642180730667,0.00806492909348792,0.178263507052645
0.0787977829123216,-0.00456268422350943,0.162158250048153
